Date,Price,Open,High,Low,Vol.,Change %
9/8/2023,89500.00,"89,500",89500,"89,100",1.34M,0.00%
9/7/2023,89500.00,"90,000",90800,"89,500",1.77M,-0.78%
9/6/2023,90200.00,"90,200",90200,"89,700",2.02M,0.11%
9/5/2023,90100.00,"89,100",90700,"89,100",1.94M,1.12%
8/31/2023,89100.00,"89,100",89600,"88,300",1.53M,0.00%
8/30/2023,89100.00,"88,500",89500,"88,500",1.35M,0.79%
8/29/2023,88400.00,"87,000",88500,"86,900",1.39M,1.61%
8/28/2023,87000.00,"86,400",87500,"86,200",1.38M,0.93%
8/25/2023,86200.00,"86,200",87000,"86,000",1.40M,-0.92%
8/24/2023,87000.00,"86,300",88200,"86,000",902.80K,0.81%
8/23/2023,86300.00,"88,900",88900,"86,100",1.75M,-2.38%
8/22/2023,88400.00,"89,500",89700,"87,800",1.83M,-1.56%
8/21/2023,89800.00,"89,700",90200,"89,200",1.71M,0.34%
8/18/2023,89500.00,"89,800",90300,"89,000",2.22M,0.11%
8/17/2023,89400.00,"89,200",89800,"88,600",2.15M,0.22%
8/16/2023,89200.00,"88,800",89400,"88,700",727.30K,0.34%
8/15/2023,88900.00,"90,000",90000,"88,500",1.15M,-0.11%
8/14/2023,89000.00,"90,300",90300,"89,000",1.47M,-1.55%
8/11/2023,90400.00,"88,500",90400,"88,500",920.80K,2.15%
8/10/2023,88500.00,"90,500",90500,"88,500",1.34M,-1.88%
8/9/2023,90200.00,"90,700",90900,"90,100",591.60K,-0.55%
8/8/2023,90700.00,"90,800",91200,"90,100",823.40K,-0.11%
8/7/2023,90800.00,"90,100",90800,"90,000",1.11M,0.78%
8/4/2023,90100.00,"90,700",91100,"90,100",1.23M,-0.55%
8/3/2023,90600.00,"91,500",91500,"90,500",837.90K,-0.98%
8/2/2023,91500.00,"91,200",91500,"91,000",1.06M,0.33%
8/1/2023,91200.00,"91,600",92800,"91,200",1.28M,-0.44%
7/31/2023,91600.00,"93,000",93200,"91,600",1.47M,-1.51%
7/28/2023,93000.00,"92,700",93000,"91,800",1.12M,0.32%
7/27/2023,92700.00,"93,700",93700,"92,500",957.20K,-0.75%
7/26/2023,93400.00,"91,900",93400,"91,900",1.15M,1.85%
7/25/2023,91700.00,"90,400",92500,"90,300",2.37M,3.54%
7/24/2023,88569.00,"88,992",89246,"88,484",954.84K,-15.65%
7/21/2023,105000.00,"105,000",105000,"104,000",663.40K,0.00%
7/20/2023,105000.00,"105,500",106400,"103,600",771.60K,-1.41%
7/19/2023,106500.00,"104,600",107100,"104,600",926.20K,2.11%
7/18/2023,104300.00,"104,900",105000,"104,300",590.00K,-0.48%
7/17/2023,104800.00,"105,000",105000,"104,200",791.60K,-0.19%
7/14/2023,105000.00,"104,900",105000,"104,000",797.70K,0.10%
7/13/2023,104900.00,"105,000",105000,"103,700",928.30K,0.87%
7/12/2023,104000.00,"102,700",104500,"102,700",742.80K,0.97%
7/11/2023,103000.00,"101,800",105000,"101,800",887.60K,0.29%
7/10/2023,102700.00,"104,900",104900,"102,300",915.10K,-2.19%
7/7/2023,105000.00,"100,500",105000,"100,400",1.06M,4.27%
7/6/2023,100700.00,"102,100",102200,"100,500",1.02M,-1.27%
7/5/2023,102000.00,"101,000",102500,"100,300",953.90K,2.00%
7/4/2023,100000.00,"100,700",101900,"99,900",682.70K,0.00%
7/3/2023,100000.00,"100,000",100800,"99,800",490.10K,0.00%
6/30/2023,100000.00,"101,100",101800,"100,000",556.60K,-1.86%
6/29/2023,101900.00,"101,800",103000,"101,100",640.60K,0.79%
6/28/2023,101100.00,"100,000",102200,"99,800",821.20K,1.10%
6/27/2023,100000.00,"100,000",101000,"99,700",685.90K,0.00%
6/26/2023,100000.00,"99,100",100900,"99,100",807.20K,0.10%
6/23/2023,99900.00,"100,400",100400,"99,500",705.20K,-0.50%
6/22/2023,100400.00,"102,000",102000,"99,900",716.50K,0.40%
6/21/2023,100000.00,"99,700",100500,"99,700",1.19M,0.10%
6/20/2023,99900.00,"101,100",101100,"99,800",1.78M,-1.77%
6/19/2023,101700.00,"103,600",104100,"101,700",1.14M,-3.14%
6/16/2023,105000.00,"104,200",106400,"103,200",1.33M,1.45%
6/15/2023,103500.00,"102,500",103700,"101,600",912.20K,0.88%
6/14/2023,102600.00,"102,400",104000,"101,500",840.50K,0.10%
6/13/2023,102500.00,"100,000",103000,"99,700",838.90K,1.49%
6/12/2023,101000.00,"99,900",101500,"98,100",435.10K,0.50%
6/9/2023,100500.00,"100,000",102000,"99,000",820.20K,0.50%
6/8/2023,100000.00,"97,000",101700,"97,000",1.34M,3.09%
6/7/2023,97000.00,"99,000",99000,"97,000",749.60K,-2.02%
6/6/2023,99000.00,"98,000",99000,"96,500",759.50K,1.02%
6/5/2023,98000.00,"95,200",98700,"95,200",1.30M,3.27%
6/2/2023,94900.00,"93,900",95000,"93,300",737.80K,1.06%
6/1/2023,93900.00,"94,600",94600,"93,200",646.30K,-0.11%
5/31/2023,94000.00,"93,900",94100,"93,100",380.10K,-0.53%
5/30/2023,94500.00,"93,100",94800,"92,400",564.50K,1.50%
5/29/2023,93100.00,"92,000",95000,"92,000",590.50K,1.20%
5/26/2023,92000.00,"93,200",93500,"92,000",283.70K,-1.29%
5/25/2023,93200.00,"92,600",94000,"91,400",606.60K,0.65%
5/24/2023,92600.00,"92,800",92800,"91,900",342.20K,-0.22%
5/23/2023,92800.00,"93,000",93600,"92,100",568.80K,-0.32%
5/22/2023,93100.00,"93,000",93900,"92,200",622.30K,-1.17%
5/19/2023,94200.00,"94,500",94900,"92,600",439.90K,-0.84%
5/18/2023,95000.00,"92,900",96000,"92,200",1.68M,2.37%
5/17/2023,92800.00,"92,500",93000,"92,300",572.70K,0.22%
5/16/2023,92600.00,"92,000",93100,"91,300",666.10K,0.98%
5/15/2023,91700.00,"92,000",93000,"91,200",450.50K,-1.19%
5/12/2023,92800.00,"91,000",92800,"90,800",710.50K,1.98%
5/11/2023,91000.00,"92,000",92100,"91,000",505.60K,-1.09%
5/10/2023,92000.00,"91,900",93000,"91,600",417.40K,-0.33%
5/9/2023,92300.00,"93,000",93900,"92,300",563.40K,-0.75%
5/8/2023,93000.00,"90,000",93200,"89,800",1.50M,3.56%
5/5/2023,89800.00,"88,500",89900,"88,200",225.70K,1.47%
5/4/2023,88500.00,"90,000",90000,"88,500",496.00K,-2.21%
4/28/2023,90500.00,"90,000",90500,"88,800",704.70K,0.56%
4/27/2023,90000.00,"88,700",90500,"88,400",580.40K,0.67%
4/26/2023,89400.00,"88,000",89500,"87,900",710.20K,1.25%
4/25/2023,88300.00,"88,200",88500,"87,500",545.80K,0.46%
4/24/2023,87900.00,"88,000",88500,"87,000",505.80K,0.46%
4/21/2023,87500.00,"88,000",88100,"87,400",356.50K,-0.91%
4/20/2023,88300.00,"88,800",88800,"88,000",257.80K,-0.23%
4/19/2023,88500.00,"88,100",88700,"88,000",416.90K,0.57%
4/18/2023,88000.00,"88,300",88600,"87,500",695.10K,-0.45%
4/17/2023,88400.00,"88,400",88500,"87,800",488.90K,0.00%
4/14/2023,88400.00,"88,300",89100,"88,200",414.80K,0.23%
4/13/2023,88200.00,"88,300",88500,"87,800",491.00K,-0.11%
4/12/2023,88300.00,"88,300",88600,"88,000",518.40K,0.11%
4/11/2023,88200.00,"89,000",90000,"88,200",751.60K,-0.90%
4/10/2023,89000.00,"90,000",90000,"89,000",639.30K,-1.11%
4/7/2023,90000.00,"91,000",91100,"89,500",747.20K,-1.32%
4/6/2023,91200.00,"91,500",92100,"91,200",376.30K,-0.98%
4/5/2023,92100.00,"92,300",92300,"91,100",336.00K,0.11%
4/4/2023,92000.00,"92,800",92900,"91,600",269.90K,-0.86%
4/3/2023,92800.00,"91,700",92900,"91,200",736.70K,1.53%
3/31/2023,91400.00,"92,800",93200,"90,500",950.60K,-1.40%
3/30/2023,92700.00,"92,300",93200,"92,000",409.70K,0.43%
3/29/2023,92300.00,"92,500",92500,"90,500",422.80K,0.54%
3/28/2023,91800.00,"90,800",92900,"90,100",845.80K,0.88%
3/27/2023,91000.00,"89,000",91000,"88,000",730.10K,2.25%
3/24/2023,89000.00,"91,000",91000,"88,900",630.00K,-1.87%
3/23/2023,90700.00,"88,800",90700,"87,300",849.50K,1.91%
3/22/2023,89000.00,"86,600",89900,"86,600",1.06M,2.89%
3/21/2023,86500.00,"85,400",89900,"85,400",1.06M,1.65%
3/20/2023,85100.00,"89,000",89500,"85,100",1.03M,-4.38%
3/17/2023,89000.00,"91,000",91100,"89,000",2.27M,-2.20%
3/16/2023,91000.00,"91,000",92000,"89,500",806.00K,-0.44%
3/15/2023,91400.00,"91,600",92000,"91,100",807.80K,0.44%
3/14/2023,91000.00,"91,000",91200,"90,500",863.70K,-0.55%
3/13/2023,91500.00,"92,000",92000,"90,800",759.20K,-0.65%
3/10/2023,92100.00,"92,200",92500,"91,500",707.80K,-0.97%
3/9/2023,93000.00,"92,000",93400,"91,700",1.10M,0.87%
3/8/2023,92200.00,"91,000",92200,"90,700",871.90K,0.33%
3/7/2023,91900.00,"91,500",92500,"91,100",970.30K,0.99%
3/6/2023,91000.00,"91,000",92200,"91,000",711.90K,0.11%
3/3/2023,90900.00,"91,800",92800,"90,900",798.60K,-2.47%
3/2/2023,93200.00,"93,000",93800,"91,800",984.70K,0.22%
3/1/2023,93000.00,"92,300",93400,"92,200",729.70K,-0.53%
2/28/2023,93500.00,"93,100",93700,"92,600",565.80K,0.75%
2/27/2023,92800.00,"93,000",93500,"91,700",501.00K,-0.75%
2/24/2023,93500.00,"93,000",94000,"90,000",631.40K,0.21%
2/23/2023,93300.00,"93,000",94000,"91,200",1.03M,0.32%
2/22/2023,93000.00,"94,200",94300,"92,500",1.03M,-1.27%
2/21/2023,94200.00,"94,200",94900,"94,000",675.50K,0.43%
2/20/2023,93800.00,"93,000",94500,"93,000",1.10M,0.86%
2/17/2023,93000.00,"93,000",93300,"92,000",918.90K,0.65%
2/16/2023,92400.00,"93,000",94000,"92,200",776.60K,-0.65%
2/15/2023,93000.00,"92,500",94200,"91,200",899.30K,0.54%
2/14/2023,92500.00,"93,500",93500,"91,200",1.14M,-1.07%
2/13/2023,93500.00,"94,800",95400,"92,000",872.70K,-1.06%
2/10/2023,94500.00,"94,500",94500,"92,800",647.70K,1.61%
2/9/2023,93000.00,"93,800",95000,"93,000",759.40K,-1.27%
2/8/2023,94200.00,"92,100",96200,"92,100",884.80K,2.39%
2/7/2023,92000.00,"95,300",95500,"92,000",1.20M,-4.17%
2/6/2023,96000.00,"92,600",96300,"91,500",1.15M,3.23%
2/3/2023,93000.00,"90,300",93000,"89,100",893.40K,2.65%
2/2/2023,90600.00,"88,600",92000,"88,600",984.60K,1.68%
2/1/2023,89100.00,"92,000",92500,"89,100",1.14M,-3.05%
1/31/2023,91900.00,"89,900",91900,"87,800",1.45M,2.22%
1/30/2023,89900.00,"92,100",92500,"89,800",1.05M,-3.33%
1/27/2023,93000.00,"93,000",94600,"91,500",1.55M,0.00%
1/19/2023,93000.00,"89,500",96000,"87,500",1.72M,3.33%
1/18/2023,90000.00,"90,000",91000,"89,400",834.00K,0.67%
1/17/2023,89400.00,"88,500",89400,"87,300",644.60K,2.41%
1/16/2023,87300.00,"86,000",88500,"86,000",735.20K,1.75%
1/13/2023,85800.00,"85,200",86500,"85,200",822.00K,1.18%
1/12/2023,84800.00,"85,200",85200,"83,800",1.88M,-0.35%
1/11/2023,85100.00,"87,300",87300,"85,100",983.00K,-2.52%
1/10/2023,87300.00,"86,200",89900,"86,200",2.11M,0.46%
1/9/2023,86900.00,"85,800",86900,"84,800",1.67M,3.45%
1/6/2023,84000.00,"84,000",84800,"83,900",1.13M,0.00%
1/5/2023,84000.00,"82,800",84000,"82,500",1.08M,1.45%
1/4/2023,82800.00,"82,900",82900,"81,800",837.90K,0.24%
1/3/2023,82600.00,"80,200",82600,"80,200",1.09M,3.25%
12/30/2022,80000.00,"82,900",83100,"80,000",1.51M,-0.87%
12/29/2022,80700.00,"82,300",82500,"80,500",1.24M,0.88%
12/28/2022,80000.00,"80,400",82000,"79,500",1.17M,1.14%
12/27/2022,79100.00,"80,200",80500,"78,900",1.06M,0.25%
12/26/2022,78900.00,"79,200",80800,"78,900",1.20M,-0.25%
12/23/2022,79100.00,"80,200",81200,"79,100",1.08M,-0.25%
12/22/2022,79300.00,"79,500",81100,"79,300",1.07M,0.76%
12/21/2022,78700.00,"81,400",81400,"78,700",962.00K,-0.38%
12/20/2022,79000.00,"79,700",82000,"79,000",1.42M,-0.25%
12/19/2022,79200.00,"80,000",81000,"79,000",757.50K,-0.63%
12/16/2022,79700.00,"79,500",82900,"78,900",3.16M,0.25%
12/15/2022,79500.00,"78,800",80700,"78,600",1.25M,0.89%
12/14/2022,78800.00,"79,700",79700,"78,500",1.08M,0.77%
12/13/2022,78200.00,"78,100",79300,"77,900",2.23M,1.03%
12/12/2022,77400.00,"78,800",80500,"77,400",2.11M,0.13%
12/9/2022,77300.00,"78,400",79200,"77,100",1.68M,0.39%
12/8/2022,77000.00,"79,000",81000,"77,000",2.11M,-1.91%
12/7/2022,78500.00,"80,000",82000,"78,000",1.46M,-1.88%
12/6/2022,80000.00,"85,000",85200,"80,000",1.31M,-5.88%
12/5/2022,85000.00,"84,100",87000,"82,500",1.66M,0.00%
12/2/2022,85000.00,"79,900",85000,"79,300",1.24M,6.25%
12/1/2022,80000.00,"80,900",81400,"79,200",1.18M,-1.23%
11/30/2022,81000.00,"80,300",81000,"77,000",1.32M,1.50%
11/29/2022,79800.00,"76,000",79800,"76,000",1.71M,4.04%
11/28/2022,76700.00,"74,500",77000,"73,800",1.34M,4.92%
11/25/2022,73100.00,"73,100",73600,"72,800",1.68M,0.14%
11/24/2022,73000.00,"73,500",74000,"72,500",1.08M,-0.68%
11/23/2022,73500.00,"73,000",73500,"72,400",794.20K,0.00%
11/22/2022,73500.00,"74,500",76000,"72,500",1.94M,-2.00%
11/21/2022,75000.00,"76,500",76500,"75,000",1.11M,-1.96%
11/18/2022,76500.00,"75,900",76900,"73,600",1.56M,0.00%
11/17/2022,76500.00,"76,100",76600,"75,500",1.65M,1.86%
11/16/2022,75100.00,"70,300",78000,"70,300",2.35M,0.13%
11/15/2022,75000.00,"74,400",76400,"72,100",1.58M,-0.13%
11/14/2022,75100.00,"75,500",76500,"74,100",1.54M,-0.53%
11/11/2022,75500.00,"73,000",75500,"73,000",1.31M,3.71%
11/10/2022,72800.00,"73,900",73900,"71,600",958.50K,-1.62%
11/9/2022,74000.00,"73,500",74200,"72,600",1.21M,1.93%
11/8/2022,72600.00,"72,000",75000,"71,600",1.66M,1.11%
11/7/2022,71800.00,"71,800",73000,"71,100",1.23M,0.00%
11/4/2022,71800.00,"71,500",72500,"68,900",1.54M,-1.64%
11/3/2022,73000.00,"72,000",73400,"72,000",726.60K,-0.82%
11/2/2022,73600.00,"74,000",74500,"72,000",1.26M,-1.87%
11/1/2022,75000.00,"74,000",75000,"73,300",826.10K,2.04%
10/31/2022,73500.00,"73,500",73500,"72,500",659.40K,2.65%
10/28/2022,71600.00,"72,500",74500,"71,600",1.56M,-0.14%
10/27/2022,71700.00,"70,500",72900,"69,300",1.30M,2.43%
10/26/2022,70000.00,"70,600",70600,"68,500",591.40K,0.14%
10/25/2022,69900.00,"66,000",70600,"66,000",1.54M,2.79%
10/24/2022,68000.00,"69,500",69500,"65,800",670.10K,0.00%
10/21/2022,68000.00,"69,200",70700,"68,000",1.28M,-1.73%
10/20/2022,69200.00,"67,900",70000,"67,100",1.52M,1.91%
10/19/2022,67900.00,"67,900",68000,"67,300",627.40K,0.30%
10/18/2022,67700.00,"68,000",68000,"67,300",885.00K,2.11%
10/17/2022,66300.00,"67,300",68000,"65,500",1.24M,-2.64%
10/14/2022,68100.00,"68,500",68500,"67,300",1.60M,2.41%
10/13/2022,66500.00,"64,100",66500,"62,700",1.60M,3.91%
10/12/2022,64000.00,"63,000",65300,"62,200",1.52M,3.23%
10/11/2022,62000.00,"65,300",66000,"62,000",1.16M,-4.76%
10/10/2022,65100.00,"66,500",67700,"64,100",1.32M,-2.40%
10/7/2022,66700.00,"69,600",69600,"65,300",2.11M,-4.85%
10/6/2022,70100.00,"72,000",72000,"69,900",751.50K,-1.96%
10/5/2022,71500.00,"71,400",72000,"71,100",835.00K,0.28%
10/4/2022,71300.00,"70,000",71900,"69,500",1.28M,0.99%
10/3/2022,70600.00,"73,500",73800,"70,300",894.90K,-3.55%
9/30/2022,73200.00,"73,200",74300,"72,400",1.26M,-1.08%
9/29/2022,74000.00,"76,000",76000,"74,000",587.80K,-1.33%
9/28/2022,75000.00,"74,000",75000,"73,800",587.70K,0.94%
9/27/2022,74300.00,"76,000",76000,"74,200",653.40K,-0.93%
9/26/2022,75000.00,"75,100",77000,"74,100",1.26M,-1.19%
9/23/2022,75900.00,"77,200",77700,"75,800",1.03M,-2.69%
9/22/2022,78000.00,"77,700",78600,"77,500",1.18M,-1.14%
9/21/2022,78900.00,"79,300",79600,"77,900",499.20K,-0.38%
9/20/2022,79200.00,"78,800",80000,"78,600",521.20K,0.51%
9/19/2022,78800.00,"79,000",80200,"78,000",938.50K,-1.50%
9/16/2022,80000.00,"79,300",80000,"78,500",1.52M,1.01%
9/15/2022,79200.00,"78,500",79300,"78,100",611.90K,1.15%
9/14/2022,78300.00,"77,200",79500,"77,000",1.09M,-0.38%
9/13/2022,78600.00,"79,400",79400,"78,600",1.19M,-0.63%
9/12/2022,79100.00,"79,600",79700,"78,800",700.80K,0.38%
9/9/2022,78800.00,"78,500",79300,"78,200",1.03M,1.03%
9/8/2022,78000.00,"80,900",80900,"78,000",1.07M,-2.50%
9/7/2022,80000.00,"82,000",82500,"79,800",2.29M,-3.26%
9/6/2022,82700.00,"82,600",84000,"82,100",1.03M,0.12%
9/5/2022,82600.00,"84,000",84300,"82,500",1.55M,-1.67%
8/31/2022,84000.00,"86,000",86500,"84,000",1.06M,-2.33%
8/30/2022,86000.00,"82,500",86000,"82,500",2.50M,4.24%
8/29/2022,82500.00,"81,400",82500,"80,900",951.50K,0.00%
8/26/2022,82500.00,"82,000",83700,"82,000",1.56M,0.61%
8/25/2022,82000.00,"82,200",82200,"81,300",538.80K,0.00%
8/24/2022,82000.00,"81,200",82900,"80,300",1.08M,2.24%
8/23/2022,80200.00,"80,000",81300,"79,900",648.00K,0.25%
8/22/2022,80000.00,"80,100",81500,"80,000",525.80K,-1.11%
8/19/2022,80900.00,"80,600",82000,"80,600",1.15M,-0.74%
8/18/2022,81500.00,"81,300",82000,"81,200",1.57M,0.00%
8/17/2022,81500.00,"81,200",81700,"81,200",764.00K,0.00%
8/16/2022,81500.00,"82,000",82000,"81,100",687.10K,-0.37%
8/15/2022,81800.00,"82,000",82300,"81,700",1.26M,0.25%
8/12/2022,81600.00,"81,500",81900,"80,900",1.25M,0.12%
8/11/2022,81500.00,"81,300",82000,"80,600",1.17M,1.24%
8/10/2022,80500.00,"80,100",81000,"80,100",507.50K,-0.37%
8/9/2022,80800.00,"82,000",82000,"79,900",1.22M,-1.46%
8/8/2022,82000.00,"82,000",82500,"81,900",915.00K,0.00%
8/5/2022,82000.00,"82,000",82400,"81,100",1.40M,-0.61%
8/4/2022,82500.00,"79,500",82500,"79,400",2.26M,3.77%
8/3/2022,79500.00,"78,300",79500,"78,000",1.01M,0.76%
8/2/2022,78900.00,"77,000",79200,"76,000",1.78M,2.47%
8/1/2022,77000.00,"74,700",77000,"74,400",1.58M,3.08%
7/29/2022,74700.00,"75,400",75500,"74,700",1.18M,-0.80%
7/28/2022,75300.00,"75,400",75600,"74,800",1.16M,0.40%
7/27/2022,75000.00,"74,000",75000,"73,700",1.26M,1.49%
7/26/2022,73900.00,"73,200",74400,"73,200",1.12M,1.37%
7/25/2022,72900.00,"72,400",73200,"72,000",962.70K,0.55%
7/22/2022,72500.00,"72,100",72700,"72,000",1.01M,0.00%
7/21/2022,72500.00,"72,500",72900,"72,100",1.16M,0.00%
7/20/2022,72500.00,"71,600",72500,"71,600",544.90K,1.68%
7/19/2022,71300.00,"72,000",72100,"71,100",812.10K,-0.97%
7/18/2022,72000.00,"72,500",72900,"72,000",391.40K,-0.41%
7/15/2022,72300.00,"72,100",73500,"72,100",597.50K,-0.14%
7/14/2022,72400.00,"71,800",72800,"71,600",329.40K,0.84%
7/13/2022,71800.00,"71,800",73400,"71,400",1.38M,-0.14%
7/12/2022,71900.00,"72,100",72600,"71,700",811.50K,-0.14%
7/11/2022,72000.00,"73,300",73500,"72,000",660.80K,-2.70%
7/8/2022,74000.00,"74,900",75000,"73,900",761.00K,-1.99%
7/7/2022,75500.00,"72,700",75500,"71,700",1.26M,3.71%
7/6/2022,72800.00,"73,700",73900,"68,900",1.55M,-1.62%
7/5/2022,74000.00,"74,900",74900,"73,600",1.06M,-0.13%
7/4/2022,74100.00,"74,900",75200,"73,900",746.20K,0.14%
7/1/2022,74000.00,"74,500",75000,"72,900",1.38M,-1.07%
6/30/2022,74800.00,"75,500",76000,"74,800",678.40K,-0.93%
6/29/2022,75500.00,"75,800",75900,"75,300",847.50K,-1.05%
6/28/2022,76300.00,"75,000",77000,"74,800",1.10M,1.87%
6/27/2022,74900.00,"75,500",76000,"74,800",862.50K,-0.13%
6/24/2022,75000.00,"76,200",76300,"74,600",648.60K,-1.19%
6/23/2022,75900.00,"75,100",76700,"74,900",590.20K,-0.13%
6/22/2022,76000.00,"77,900",78000,"75,000",1.07M,-2.19%
6/21/2022,77700.00,"76,000",77700,"75,200",937.10K,2.24%
6/20/2022,76000.00,"79,500",79500,"75,300",1.09M,-0.13%
6/17/2022,76100.00,"77,000",78300,"76,100",1.05M,-3.79%
6/16/2022,79100.00,"76,700",80000,"76,500",1.21M,3.40%
6/15/2022,76500.00,"77,400",78300,"75,300",1.24M,-0.65%
6/14/2022,77000.00,"75,500",78100,"74,000",1.07M,0.79%
6/13/2022,76400.00,"77,000",77000,"74,100",1.11M,-1.67%
6/10/2022,77700.00,"77,800",79000,"77,400",390.90K,-0.13%
6/9/2022,77800.00,"79,000",79900,"77,700",1.07M,-1.77%
6/8/2022,79200.00,"81,000",81000,"78,800",1.16M,-2.22%
6/7/2022,81000.00,"79,000",82000,"78,100",933.00K,1.63%
6/6/2022,79700.00,"77,500",80000,"75,100",880.50K,2.84%
6/3/2022,77500.00,"78,400",79500,"76,400",527.80K,-1.90%
